ticker,sector,market_cap_usd_b_approx,options_volume_30d_avg_approx,notes
SPY,etf_broad,~500,~6000000,
QQQ,etf_broad,~250,~3500000,
IWM,etf_broad,~60,~1500000,
DIA,etf_broad,~35,~250000,
NVDA,tech_semi,~3000,~2500000,
AMD,tech_semi,~250,~700000,
AAPL,tech_hardware,~3500,~1200000,
MSFT,tech_software,~3200,~700000,
GOOGL,tech_software,~2200,~500000,
TSLA,auto_ev,~800,~2500000,
META,tech_social,~1500,~600000,
AMZN,consumer_ecommerce,~2000,~700000,
JPM,financials_bank,~700,~250000,
BAC,financials_bank,~350,~300000,
XOM,energy_oil,~500,~250000,
CVX,energy_oil,~300,~150000,
JNJ,healthcare_pharma,~400,~100000,
UNH,healthcare_insurer,~500,~150000,
GLD,commodities_gold,~75,~350000,
TLT,fixed_income_long,~50,~600000,
